Block,Purpose,Variations,# Variations,Usage Count,Example URLs,Complexity,Estimate Best (pd),Estimate Expected (pd),Estimate High (pd)
Hero,Full-width page intro band: media + headline + eyebrow + CTA.,Default | Image | Video | CTA | Shop hero,5,86,/en-us/legal/terms-of-use.html | /en | /en/learn,Complex,3,4,6
Feature / Media Row,Alternating image/text content rows with optional CTA (workhorse marketing block).,Media left | Media right | Background | With CTA,4,329,/en-us/legal/terms-of-use.html | /en | /en/learn,Medium,2.5,3.5,5
Cards,"Card grids: icon, download (asset), video, image-tile, jump/anchor, course cards.",Icon | Download | Video | Image-tile | Jump | Course,6,64,/en | /en/learn | /en/why-ds/our-company/sustainability.html,Complex,3.5,5,7
Carousel / Slider,Rotating content carousels + Swiper sliders (very high reuse).,Core carousel | Swiper | Scrollable,3,177,/en | /en/learn | /en/academy/about-academy.html,Complex,3,4,6
Teaser / Promo,Promotional teasers and promo/banner-ad cards.,Teaser | Promo card | Banner ad,3,63,/en | /en/learn | /en/why-ds/our-company/sustainability.html,Medium,2,3,4
Accordion,Expand/collapse FAQ & content groups.,Default | FAQ,2,42,/en/support | /en/explore/implant-dentistry/brands/atlantis/atlantis-abutment.html | /en/explore/restorative/brands/other/cerec-cercon-4d.html,Medium,1.5,2,3
Tabs,Tabbed content panels.,Default,1,7,/en/discover/discover-by-brand/atlantis.html | /en/discover/discover-by-topic/by-category/treatment-centers/infection-prevention-for-treatment-centers-.html | /en/discover/discover-by-brand/sicat.html,Medium,1.5,2.5,3.5
Step / Process,Numbered step / how-it-works sequences.,Default,1,37,/en/why-ds/our-company/sustainability.html | /en/explore/implant-dentistry/brands/atlantis/atlantis-abutment.html | /en/explore/restorative/brands/other/cerec-cercon-4d.html,Simple,1,1.5,2
Video,Embedded YouTube/Vimeo with lazy facade.,YouTube | Vimeo | Video card,3,48,/en/discover/discover-by-brand/ankylos.html | /en/discover/discover-by-brand/astra-tech-implant-system-ev.html | /en/discover/discover-by-brand/atlantis/atlantis-suprastructures.html,Medium,1.5,2,3
Banner / Callout,Promo banners and callout strips.,Banner | Callout,2,33,/en/why-ds/our-company/sustainability.html | /en/explore/implant-dentistry/brands/atlantis/atlantis-abutment.html | /en/explore/restorative/brands/other/cerec-cercon-4d.html,Simple,1,1.5,2
Embed,Generic third-party / iframe embeds preserved as-is.,iFrame | Script,2,128,/en-us/legal/terms-of-use.html | /en | /en/learn,Medium,1.5,2,3
Rich Text / Title / Image,"Core authored content: rich text, titles, standalone Scene7 images, spacing/separators.",Text | Title | Image,3,329,/en-us/legal/terms-of-use.html | /en | /en/learn,Simple,1.5,2,3
List / Alphabetical (A–Z),Content lists and the A–Z alphabetical brand listing.,Content list | Alphabetical A–Z,2,329,/en/explore/all-brands.html | /en-us/legal/terms-of-use.html | /en,Medium,2,2.5,3.5
Course Listing (Coveo),Academy course listing with Coveo-powered filter/sort/pagination.,Listing | Filtered,2,9,/en/academy/ce/courses/dental-lab.html | /en/academy/ce/courses/digital-dentistry-cbct.html | /en/academy/ce/courses/implant-dentistry.html,Complex,3,4,6
Form (AEM Forms),Native lead/contact forms (name/email/practice/topic) → CRM routing.,Contact | Lead | Request,3,1,/en/customer-support/contact-us.html,Complex,3,4,6
